구군명,설치위치,설치연도,도로명 주소,지번 주소,위도,경도,데이터기준일자,횡단보도 유무
울주군,장검중학교 맞은편(문수산푸르지오 앞),2019,-,울산광역시 울주군 범서읍 굴화리 760,35.5514043,129.2435211,2020-09-23,O
울주군,온산농협 하나로마트 앞,2019,-,울산광역시 울주군 온산읍 덕신리 236-3,35.4340421,129.3125727,2020-09-23,O
울주군,덕신소공원 맞은편(재호공인중개사 앞),2019,-,울산광역시 울주군 온산읍 덕신리 239-2,35.4339454,129.311765,2020-09-23,O
울주군,남천교사거리 교통섬,2019,-,울산광역시 울주군 언양읍 서부리 74,35.5637414,129.1220153,2020-09-23,O
울주군,언양한라빌리지 앞(서울산두산위브 건너편),2019,-,울산광역시 울주군 언양읍 서부리 287-3,35.5680615,129.1157887,2020-09-23,O
울주군,언삼교사거리 횡단보도,2019,-,울산광역시 울주군 언양읍 서부리 131,35.5646749,129.1182568,2020-09-23,O
울주군,덕하 한양수자인 앞,2019,-,울산광역시 울주군 청량읍 상남리 959-4,35.4837669,129.306251,2020-09-23,O
울주군,GS25(울산상남점) 앞(덕하 한양수자인 건너편),2019,-,울산광역시 울주군 청량읍 상남리 959-4,35.4837669,129.306251,2020-09-23,O
울주군,동문마을복지회관 앞,2019,-,울산광역시 울주군 웅촌면 곡천리 252-6,35.4648047,129.2095934,2020-09-23,O
울주군,울산산업고등학교 앞 사거리,2019,-,울산광역시 울주군 삼남면 교동리 447,35.5536589,129.1178689,2020-09-23,O
울주군,구영우미린 2차 701동 앞(우리은행 건너편),2019,-,울산광역시 울주군 범서읍 구영리 697-9,35.5742551,129.243735,2020-09-23,O
울주군,구영푸르지오 505동 앞(파리바게트 건너편),2019,-,울산광역시 울주군 범서읍 구영리 697-9,35.5742551,129.243735,2020-09-23,O
울주군,서울산두산위브 정문 앞,2019,-,울산광역시 울주군 언양읍 서부리 408,35.5668184,129.1140094,2020-09-23,O
울주군,구영 2차 푸르지오 정문 앞,2020,-,울산광역시 울주군 범서읍 구영리 209-3,35.5759562,129.2420381,2020-09-23,O
울주군,울주군 국민체육센터 앞 횡단보도,2020,울산광역시 울주군 범서읍 구영로 101-16,울산광역시 울주군 범서읍 구영리 210-1 울주군 국민체육센터,35.5744357,129.2448074,2020-09-23,O
울주군,굴화 맥도날드 앞,2020,-,울산광역시 울주군 범서읍 굴화리 28-8,35.556479,129.2625956,2020-09-23,O
울주군,굴화 맥도날드 건너편,2020,-,울산광역시 울주군 범서읍 굴화리 8-1,35.556976,129.2634185,2020-09-23,O
울주군,천상리 문수애시앙 4거리(천상부동산 앞),2020,-,울산광역시 울주군 범서읍 천상리 272,35.5596698,129.2314714,2020-09-23,O
울주군,천상리 문수애시앙 4거리(문수애시앙 상가 한의원),2020,-,울산광역시 울주군 범서읍 천상리 272,35.5596698,129.2314714,2020-09-23,O
울주군,천상리 문수애시앙 4거리(문수애시앙 201동 앞),2020,-,울산광역시 울주군 범서읍 천상리 272,35.5596698,129.2314714,2020-09-23,O
울주군,덕신소공원 앞 횡단보도,2020,-,울산광역시 울주군 온산읍 덕신리 535-7,35.4328541,129.3106669,2020-09-23,O
울주군,온산파출소 옆 횡단보도,2020,-,울산광역시 울주군 온산읍 덕신리 580-6,35.4338928,129.3063062,2020-09-23,O
울주군,언양읍성 안내소 앞 횡단보도,2020,-,울산광역시 울주군 언양읍 동부리 390-10,35.5696539,129.1184407,2020-09-23,O
